Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	109.15503840707242	2234.6890199855043	0.9155530192986098	0.9275859150160826	0.8955223880597015	0.8379888268156425
2	216.4133750789333	1528.862499716488	0.9375077816974476	0.9460068562722195	0.8631578947368421	0.9162011173184358
3	321.41697612102143	1268.2466551486737	0.9477899979248807	0.9603436600643305	0.9176136363636364	0.9022346368715084
4	426.0870351290796	1059.3726570513102	0.958694749948122	0.9647346368715084	0.9773462783171522	0.8435754189944135
5	532.5407600060571	947.6768491530504	0.9586532475617348	0.9701201963771796	0.9528023598820059	0.9022346368715084
6	638.9414953729138	826.3228246815804	0.9609462544096286	0.9653271542238022	0.9337175792507204	0.9050279329608939
7	746.0982860319782	772.2830093687835	0.962730857024279	0.969792195700017	0.9446064139941691	0.9050279329608939
8	850.8954040529206	703.452546431023	0.9639759286158954	0.9716861350939563	0.956386292834891	0.8575418994413407
9	957.3448078949004	655.3520469974471	0.9658642871965137	0.9717496190959878	0.9520958083832335	0.888268156424581
10	1065.8915623819921	551.502666196273	0.9651691222245279	0.9714321990858303	0.9550898203592815	0.8910614525139665
11	1176.6087785039563	537.5487337664264	0.9658746627931106	0.9712734890807517	0.9575757575757575	0.88268156424581
12	1283.6525504030287	499.9887741548162	0.9641108113716539	0.9695858726934146	0.9322033898305084	0.9217877094972067
13	1388.8204551080707	495.5779713635054	0.9644117036729611	0.9708132300660233	0.9420289855072463	0.9078212290502793
14	1499.2587790770922	492.85137331268487	0.9646451545963893	0.9702471643812426	0.9472140762463344	0.9022346368715084
15	1604.5600810670294	464.40518372076446	0.9620149408590994	0.9710777467411545	0.9501466275659824	0.9050279329608939
16	1709.8099397979677	440.11390787825724	0.9577920730442	0.9694060013543253	0.9275766016713092	0.9301675977653632
17	1810.5203777919523	447.89314777616073	0.9635245901639344	0.9693954206873201	0.9598765432098766	0.8687150837988827
18	1913.8838514380623	435.4573761961558	0.9627101058310853	0.9672634162857627	0.9545454545454546	0.8798882681564246
19	2008.7474093479104	431.835853069014	0.9620512554471882	0.9691626460132048	0.9495548961424333	0.8938547486033519
20	2101.5195520028938	388.5690571374655	0.9638254824652417	0.9693636786863045	0.9498525073746312	0.8994413407821229
21	2195.9917639240157	373.98632306632044	0.9644791450508404	0.9692737430167597	0.9550898203592815	0.8910614525139665
22	2288.078941239044	366.9089386598781	0.9637165387009753	0.9674856102928727	0.9545454545454546	0.8798882681564246
23	2380.1973915928975	368.56678663790854	0.9647540983606557	0.9687394193329948	0.9578313253012049	0.888268156424581
24	2467.5957679059356	359.8845236368577	0.9608580618385557	0.9694483240223464	0.9369627507163324	0.9134078212290503
25	2561.919293527957	350.7699640724912	0.9622535795808259	0.968469612324361	0.9498525073746312	0.8994413407821229
